Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Miscellaneous,Dean Wareham,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/00-misc/dean-wareham-misc-mosaic.jpg,"Promos, compilations, etc.",
What Else Do You Do (A Compilation of Quiet Music),Dean Wareham,,LP,,,1990,Shimmy Disc,SHIMMY 34,Smile,,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean_quietmusic.jpg,,Loading...
What Else Do You Do (A Compilation of Quiet Music),Dean Wareham,,LP,,,1990,Shimmy Disc,SDE-9021,Smile,,,,,,Loading...
What Else Do You Do (A Compilation of Quiet Music),Dean Wareham,,LP,,,1990,Shimmy Disc,SHIMMY 34 CD,Smile,,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean_quietmusic.jpg,,Loading...
What Else Do You Do (A Compilation of Quiet Music),Dean Wareham,,CD,,,1990,Shimmy Disc,SDE-9021CD,Smile,,,,,,Loading...
Time / By The Way (I Still Love You),Dean Wareham,Cagney & Lacee,7,,,1995,No. 6,KAR034,Time,By The Way (I Still Love You),,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/cal_time_sleeve_01.jpg,,Loading...
Six Feet of Chain,Dean Wareham,Cagney & Lacee,CD,,,1997,No. 6,KAR 041-2,Be Mine|Lovin' You|Six Feet of Chain|The Last Goodbye|By The Way (I Still Love You)|Greyhound Goin' Somewhere|For The Sake of The Children|Memphis|I'm Not Sayin',,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/cagney-and-lacee-six-feet-of-chain.jpg,,Loading...
Borderline / Orange,Dean Wareham,Cagney & Lacee,7,,,1998,Earworm,WORMSS3,Borderline,Orange,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/cal_borderline_sleeve_04.jpg,,Loading...
Speed Dating,Dean Wareham,,2xCD,,,2009,No. 6,KAR006,Anesthesia|I Can't Wait,Time|By The Way (I Still Love You),,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/various-artists-speed-dating.jpg,,Loading...
Luck or Magic,Dean Wareham,Britta Phillips,LP,,,2016,Double Feature,,Daydream|Do It Last|One Fine Summer Morning|Million Dollar Doll|Drive,Fallin' in Love|Luck or Magic|Landslide|Wrap Your Arms Around Me|Ingrid Superstar,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/britta-phillips-luck-or-magic.jpg,,Loading...
Chemical Imbalance #7,Dean Wareham,,7,,,1990,Chemical Imbalance,,^Bongwater – Why Are We Sleeping?|^Uncle Wiggly – With My,Indian Summer|^Beat Happening – Foggy Eyes|^The Tinklers – I Think We're Alone Now,,,,,Loading...
Wasps' Nest,Dean Wareham,,CD,,,1995,Factory Too,FACD 2.06,^San Diego Zoo - Barbara Manning|^Aging Spinsters - Stephin Merritt|^All Dressed Up In Dreams - Mary Timony|Falling Out Of Love (With You)|^Winter In July - Ayako Akashiba|^Pillow Fight - Mitch Easter|^Dream Hat - Mac McCaughan|^Movies In My Head - Georgia Hubley|^In The City In The Rain- Lou Barlow|^Looking For Love (In The Hall Of Mirrors) - Amelia Fletcher|^Heaven In A Black Leather Jacket - Robert Scott|^Here In My Heart - Anna Domino|^Puerto Rico Way - Mark Robinson|^You Can't Break A Broken Heart - Jeffrey Underhill|^When I'm Out Of Town - Chris Knox,,,,,,Loading...
